Generation;MeanFitness;MaxFitness
624;1000;1000
625;997;1000
626;937;1000
627;934;1000
628;995;1000
629;934;1000
630;994;1000
631;937;1000
632;995;1000
633;934;1000
634;998;1000
635;992;1000
636;997;1000
637;937;1000
638;930;1000
639;994;1000
640;998;1000
641;997;1000
642;1000;1000
643;937;1000
644;937;1000
645;932;1000
646;996;1000
647;875;1000
648;937;1000
649;812;1000
650;1000;1000
651;937;1000
652;995;1000
653;931;1000
654;937;1000
655;996;1000
656;998;1000
657;1000;1000
658;989;1000
659;936;1000
660;934;1000
661;937;1000
662;934;1000
663;937;1000
664;997;1000
665;875;1000
666;1000;1000
667;937;1000
668;1000;1000
669;933;1000
670;872;1000
671;1000;1000
672;937;1000
673;1000;1000
674;999;1000
675;994;1000
676;812;1000
677;1000;1000
678;875;1000
679;993;1000
680;937;1000
681;1000;1000
682;932;1000
683;937;1000
684;995;1000
685;996;1000
686;1000;1000
687;937;1000
688;999;1000
689;937;1000
690;1000;1000
691;873;1000
692;1000;1000
693;937;1000
694;1000;1000
695;862;1000
696;937;1000
697;1000;1000
698;1000;1000
699;992;1000
700;1000;1000
701;995;1000
702;998;1000
703;869;1000
704;994;1000
705;932;1000
706;875;1000
707;995;1000
708;871;1000
709;933;1000
710;996;1000
711;990;1000
712;937;1000
713;1000;1000
714;987;1000
715;875;1000
716;1000;1000
717;934;1000
718;1000;1000
719;875;1000
720;932;1000
721;997;1000
722;1000;1000
723;932;1000
724;1000;1000
725;933;1000
726;1000;1000
727;937;1000
728;934;1000
729;1000;1000
730;937;1000
731;1000;1000
732;1000;1000
733;875;1000
734;932;1000
735;994;1000
736;934;1000
737;937;1000
738;875;1000
739;995;1000
740;994;1000
741;1000;1000
742;933;1000
743;1000;1000
744;875;1000
745;995;1000
746;1000;1000
747;994;1000
748;996;1000
749;930;1000
750;994;1000
751;935;1000
752;937;1000
753;937;1000
754;935;1000
755;936;1000
756;937;1000
757;875;1000
758;937;1000
759;1000;1000
760;1000;1000
761;991;1000
762;932;1000
763;1000;1000
764;1000;1000
765;1000;1000
766;937;1000
767;1000;1000
768;937;1000
769;998;1000
770;937;1000
771;1000;1000
772;994;1000
773;997;1000
774;1000;1000
775;1000;1000
776;995;1000
777;935;1000
778;936;1000
779;937;1000
780;875;1000
781;998;1000
782;997;1000
783;996;1000
784;937;1000
785;937;1000
786;1000;1000
787;1000;1000
788;997;1000
789;875;1000
790;1000;1000
791;1000;1000
792;997;1000
793;937;1000
794;1000;1000
795;1000;1000
796;998;1000
797;937;1000
798;1000;1000
799;994;1000
800;810;1000
801;937;1000
802;937;1000
803;1000;1000
804;1000;1000
805;937;1000
806;1000;1000
807;1000;1000
808;937;1000
809;937;1000
810;1000;1000
811;1000;1000
812;934;1000
813;875;1000
814;875;1000
815;999;1000
816;995;1000
817;1000;1000
818;997;1000
819;993;1000
820;875;1000
821;931;1000
822;812;1000
823;875;1000
824;997;1000
825;1000;1000
826;995;1000
827;937;1000
828;996;1000
829;996;1000
830;994;1000
831;875;1000
832;992;1000
833;931;1000
834;997;1000
835;1000;1000
836;992;1000
837;997;1000
838;1000;1000
839;873;1000
840;936;1000
841;875;1000
842;995;1000
843;937;1000
844;930;1000
845;996;1000
846;875;1000
847;935;1000
848;875;1000
849;1000;1000
850;1000;1000
851;934;1000
852;873;1000
853;871;1000
854;998;1000
855;936;1000
856;1000;1000
857;1000;1000
858;937;1000
859;1000;1000
860;935;1000
861;937;1000
862;937;1000
863;933;1000
864;1000;1000
865;1000;1000
866;995;1000
867;925;1000
868;993;1000
869;997;1000
870;1000;1000
871;1000;1000
872;937;1000
873;991;1000
874;934;1000
875;1000;1000
876;1000;1000
877;1000;1000
878;812;1000
879;937;1000
880;1000;1000
881;937;1000
882;1000;1000
883;937;1000
884;993;1000
885;937;1000
886;937;1000
887;875;1000
888;993;1000
889;934;1000
890;937;1000
891;1000;1000
892;1000;1000
893;937;1000
894;1000;1000
895;1000;1000
896;995;1000
897;996;1000
898;1000;1000
899;870;1000
900;934;1000
901;1000;1000
902;997;1000
903;1000;1000
904;995;1000
905;934;1000
906;937;1000
907;937;1000
908;937;1000
909;871;1000
910;937;1000
911;1000;1000
912;1000;1000
913;931;1000
914;995;1000
915;937;1000
916;1000;1000
917;937;1000
918;931;1000
